strong_G,origin_type,strong_H_ref,raw_entry_ocr
G4566,Hebrew,H7854,"Sardv Satan, sat-an'; of Heb. or. [7854] Satan, i.e. the devil:— Satan. Comp."
G4568,Hebrew,H5429,"o-otov satAn, sat'-on; of Heb. or. [5429]; a certain measure for things dry: — measure."
G4559,Hebrew,H8352,"S^jO Setk, sayth; of Heb. or. [8352]; Seth (i.e. Sheth), a patriarch:— Seth."
G4590,Hebrew,H8035,"2% Sem, some; of Heb. or. [8035]; Sem (l.e. Shem), a patriarch:— Sem. ^59i. <ri]|iaCvc» gemalno, say-mah'ee-no; from 0""^[xa sema (a mark; of uncert. der.); to indi- cate:— signify."
G4697,Hebrew,H5580,"<rf|S ses, sace; appar. of Heb. or. [5580]; a moth: — moth."
G0605,Hebrew,H6721,"ZiStiv sidon, sid""-one'; of Heb. or. [6721]; ■Sidon (i.e. Tsidon), a place in Pal.:— Sidon."
G4608,Hebrew,H7941,"o-CKcpa sib era, sik'-er-ah; of Heb. or. [7941] ; an intoxicant, i.e. intensely fermented liquor:— strong drink."
G0009,Hebrew,H7975,"46.Z.Z. SvXwdp, SUdam, sil-o-am'; of Heb. or. [7975]; Siloam (i.e. Shiloach), a pool of Jerus.:— Siloam. 46A"
G0003,Hebrew,H8095,"S£p,«v Simon, see'-mone; of Heb. or. [8095] ; Simon (i.e. Shimon), the name of nine Isr.:— Simon. Comp."
G4614,Hebrew,H5514,"Sivd Sin a, see-nah'; of Heb. or. [5514]; Sina (i.e. Sinai), a mountain in Arabia:— Sina."
G4621,Hebrew,H6726,"(tItos sltds, see'-tos; plur. irreg. neut. crfTa slta, see'-tah; of uncert. der. ; grain, espec. wheat: — corn, wheat. 462$. SwSv Sion, see-own'; of Heb. or. [6726]; Sion (i.e. Tsijon), a bill of Jerus. ; fig. the Church (mil- itant or triumphant):— Sion."
G4670,Hebrew,H5467,"SoSofia Sodoma, sod'-om-ah; plur. of Heb. or. [5467]; Sodoma (i.e. Sedom), a place in PaL:— Sodom. 467i. <rot s6t, soyf dat. of #77/; to thee:— thee, thine own, thou, thy."
G4672,Hebrew,H8010,"2oXo|«Sv or So\o|*fflv SdlSmon, so!-om- one'; of Heb. or. [8010] ; Solomon (i.e. Shelomoh), the Bon of David:— Solomon."
G4547,Hebrew,H6865,"SvpCtt Snrla, soo-ree'-ah; prob. of Heb. or. [6865] ; Syria (i.e. Tsyria or Tyre), a region of Asia:— Syria. Jj94$. Svpos SnrAs, soo'^ros; from the same as $047; a Syran (i.e. prob. Tyrian), a native of Syria:— Syrian."
G0965,Hebrew,H7941,"2i>xdp Suchar, soo-khar'; of Heb. or. [7941] ; Sychar (i.e. Shekar), a place in Pal. :— Sychar. J/"
G0966,Hebrew,H7937,"2vxl|i SucbAm, soo-khem'; of Heb. or. [7937] ; Syehem (i.e. Shekem), the name of a Canaanite and of a place in Pal.:— Syehem."
G5184,Hebrew,H6865,"Tvpos Turds, too'-ros; of Heb. or. [6865]: Tyrus (i.e. Tsor), a place in Pal. :— Tyre."
G5501,Foreign (via Hebrew),H0331,"wrtnoiros liu»sopds, hoos'-so-pos; of for. or. [331]; "" hyssop"":— hyssop."
G5323,Hebrew,H6439,"<£avov<jX PhanAuel, fan-oo-ale'; of Heb. or. [6439]; Phanuel (i.e. Pen«e!), anlsr.:— Phanuel. 55^4- <J>avTd£«> pbantazo, fan-tad' -zo; from a der. of 331b; to mote apparent, i.e. (pass.) to appear (neut. part, as noun, a spectacle):— sight."
G5328,Foreign (via Hebrew),H6547,"<J?apa<S Pharao, far-ah-o'; of for. or. [6547] ; Pharad (i.e. Pharoh), an Eg. king: — Pharaoh."
G5339,Hebrew,H6557,"tape's Phares, far-es1; of Heb. or. [6557]; Phares (i.e. Perets), an Isr. : — Phares."
G0066,Hebrew,H3778,"XaXSatos Chaldaids, khal-dah'-yos; prob. of Heb. or. [3778] ; a Chaldazan (i.e. Kasdi), or na- tive of the region of the lower Euphrates:— Chaldsean."
G0077,Hebrew,H3667,"Xovoav Chanaan, khan-ah-an'; of Heb. or. [3667] ; Chanaan (i.e. Kenaan), the early name of Pal.:— Chanaan."
G5488,Hebrew,H3771,"Xappdv Charrhan, khar-hran'; of Heb. or. [3771] ; Charrhan (i.e. Charan), a place in Meso- potamia:—Charran."
G5509,Foreign (via Hebrew),H3801,"xtT«iv chiton, khee-tone'; of for. or. [3801]; a tunic or shirt:— clothes, coat, garment"
G5601,Hebrew,H5744,"'ftpVjS Obed, o-bade'; of Heb. or. [5744]; Obed, anlsr.:— Obed."
G5617,Hebrew,H1954,"'D,<rt\( Hosee, ho-say-eh'; of Heb. or. [1954]; Hosee (i.e. Hoshea), an Isr.:— Osee."
